單位,IP
4,118.150.38.254
4,123.193.60.100
0,36.230.202.86
4,114.25.239.2
3,114.45.52.105
1,1.171.54.50
5,111.243.204.86
2,1.169.200.131
4,118.168.201.127
6,58.114.225.61
2,150.116.164.10
4,111.250.68.50
0,111.251.51.98
4,118.168.201.127
0,140.126.169.2
2,223.137.254.231
0,27.242.107.196
4,1.171.176.15
1,23.27.245.234
2,114.44.49.42
1,114.137.244.154
5,210.69.13.1
0,180.204.166.243
1,114.137.244.154
5,1.164.242.83
1,211.72.212.97
5,163.20.242.171
0,111.241.146.15
5,163.20.242.171
3,111.241.220.227
4,210.70.131.254
3,118.168.198.177
1,117.19.35.3
5,118.160.164.163
4,101.9.195.22
1,223.136.154.37
1,59.115.139.190
1,36.224.224.26
0,61.220.182.198
3,123.51.216.154
2,101.15.25.42
4,223.140.76.190
1,114.137.244.154
5,118.160.87.159
1,203.68.167.118
0,163.29.35.155
2,110.28.74.57
3,39.10.164.15
0,122.147.213.144
3,223.136.122.206
5,27.242.9.186
4,218.35.153.157
6,60.248.105.226
2,223.140.2.193
1,101.12.191.70
2,101.14.160.197
2,223.140.2.193
2,223.140.2.193
2,85.158.138.194
3,223.136.122.206
1,220.130.139.12
1,66.249.82.83
4,210.70.131.254
5,39.10.76.120
3,36.229.100.124
4,115.43.179.101
2,114.44.49.42
5,42.70.112.129
1,117.19.64.81
1,61.216.147.127
3,140.112.77.30
3,1.167.134.183
1,220.130.139.12
4,118.150.36.24
2,85.158.137.195
5,59.115.221.32
1,192.192.44.126
2,61.216.68.133
4,118.238.214.98
3,1.167.134.183
0,1.163.188.151
4,180.217.161.87
5,61.216.156.33
4,118.163.58.205
5,210.71.107.149
1,220.130.139.12
1,114.136.26.217
1,223.136.224.80
1,192.192.44.126
1,114.136.26.217
3,123.192.2.4
0,180.217.142.168
4,220.142.77.170
2,60.245.65.135
5,223.140.67.218
2,85.158.138.195
3,123.192.2.4
3,1.162.226.213
2,122.147.18.13
2,123.193.233.151
5,39.9.198.129
2,39.9.32.27
2,114.44.36.34
2,114.43.234.62
2,150.116.164.10
2,39.9.32.27
2,27.105.252.50
1,111.250.69.215
2,220.137.117.96
1,192.192.44.126
3,192.192.150.16
5,180.217.170.7
5,118.160.124.232
2,114.41.15.119
2,114.43.234.62
5,58.115.141.81
3,123.193.231.163
5,59.115.80.42
0,1.160.245.201
5,123.194.196.135
3,42.73.127.71
5,123.194.196.135
3,118.150.175.179
3,36.229.100.124
2,1.160.18.221
4,150.117.223.50
5,220.134.49.150
2,123.195.181.34
0,115.82.224.125
4,118.150.36.24
2,219.71.223.48
1,220.136.192.235
4,150.117.223.50
3,118.169.176.128
3,123.193.54.103
4,180.176.124.249
3,1.162.226.213
1,36.224.17.246
5,49.218.67.153
4,118.160.145.60
4,150.117.223.50
4,150.117.223.50
0,39.8.197.110
5,123.194.196.135
2,118.161.93.60
0,118.161.32.40
4,1.163.42.15
4,118.165.23.107
0,101.12.213.193
2,219.70.207.81
3,111.249.9.139
3,111.250.197.185
4,1.160.12.7
4,118.150.36.24
1,223.136.19.208
1,36.224.17.246
2,1.200.194.4
4,118.160.145.60
5,123.192.117.193
1,118.71.107.71
5,36.231.48.96
4,150.117.223.50
4,118.160.145.60
4,118.160.145.60
4,180.176.124.249
4,111.185.76.42
2,1.161.250.123
3,1.169.27.219
3,1.169.27.219
2,36.225.86.81
4,150.116.163.109
4,118.160.145.60
4,203.121.237.49
4,203.121.237.49
4,111.240.21.110
4,111.240.21.110
4,111.240.21.110
4,111.240.21.110
4,111.240.21.110
4,59.115.109.91
1,61.216.147.127
5,114.36.213.41
4,115.43.179.101
2,61.219.81.127
3,42.73.80.228
5,163.20.242.171
0,118.163.56.25
2,61.219.81.127
1,118.163.101.145
4,61.62.215.81
1,175.96.218.152
4,180.217.161.149
0,118.163.136.241
4,117.19.36.84
6,1.164.140.209
5,59.124.13.108
5,140.125.43.162
2,61.219.81.127
4,115.43.179.101
3,111.71.122.8
5,140.125.43.162
5,114.36.213.41
4,118.163.2.44
0,61.218.53.138
2,114.136.177.172
5,203.71.206.250
5,59.120.146.115
6,1.161.19.216
2,61.57.44.78
5,59.124.13.107
3,223.137.28.46
5,1.160.7.24
2,123.194.41.197
5,163.20.242.171
1,36.224.224.26
5,27.52.65.182
3,27.242.68.95
5,39.8.200.60
2,107.178.40.217
4,114.136.198.239
4,114.136.83.130
2,111.71.93.1
2,62.153.86.59
1,42.73.66.133
1,223.136.62.232
2,106.105.181.110
5,163.20.243.69
1,61.220.255.40
2,125.227.150.115
1,220.130.139.12
4,123.192.236.49
2,60.245.39.138
2,36.226.247.102
2,140.131.1.30
5,1.34.41.171
3,219.87.130.242
4,118.163.58.205
4,211.21.121.142
1,223.140.203.30
5,42.73.53.201
5,163.20.242.171
1,210.60.122.154
3,180.176.100.127
1,220.132.243.43
3,42.73.97.42
1,180.204.2.190
3,60.245.65.178
5,106.104.136.111
1,27.242.106.142
2,182.235.165.44
2,62.153.86.59
6,140.121.202.166
0,49.219.130.165
2,62.153.86.59
1,49.216.226.163
4,101.12.131.93
1,220.132.243.43
4,114.43.132.173
5,49.216.113.119
5,42.72.203.172
5,27.246.196.152
5,49.218.11.231
5,39.9.40.245
5,111.240.146.189
1,140.119.121.6
5,42.72.203.172
4,223.137.50.51
4,27.247.169.238
4,114.136.227.8
5,49.216.113.119
2,61.70.247.186
5,49.217.80.254
4,101.13.130.3
5,123.194.196.135
3,111.71.100.19
3,27.147.8.97
5,101.138.69.45
3,180.217.179.180
0,1.163.51.191
3,111.71.100.19
4,101.13.130.3
3,42.72.73.105
2,27.105.252.50
4,60.245.65.135
2,114.37.67.129
4,27.52.202.187
0,114.42.111.199
5,111.248.187.125
5,111.248.187.125
4,118.165.23.107
4,101.13.130.3
4,180.217.169.242
4,101.13.130.3
0,220.132.138.106
4,114.136.227.8
2,114.37.67.129
4,223.137.50.51
4,27.247.169.238
3,223.137.28.46
1,61.218.53.138
2,111.246.3.66
5,61.228.100.18
3,36.226.212.68
5,61.230.89.107
1,1.161.145.8
3,223.137.28.46
3,118.150.175.179
3,118.160.81.246
5,220.141.23.156
3,118.160.81.246
3,223.140.78.132
0,220.132.138.106
3,27.52.2.246
0,42.73.84.60
5,123.194.196.135
3,111.249.9.139
5,1.161.93.90
3,39.10.200.165
3,27.52.2.246
3,175.180.171.159
5,118.150.28.179
3,111.248.113.63
2,61.230.137.203
2,111.246.3.66
3,115.43.95.170
2,111.241.89.172
1,1.200.219.54
2,218.164.162.99
4,103.233.71.92
1,1.160.29.101
3,114.25.234.26
4,180.218.172.116
3,1.169.230.114
1,1.200.219.54
4,180.176.124.249
2,219.84.60.239
4,27.52.202.187
3,180.176.28.86
4,27.52.202.187
5,114.36.211.204
5,114.36.211.204
5,163.20.242.152
3,223.136.250.135
2,222.90.76.166
5,219.70.164.17
5,210.70.241.175
5,61.219.221.241
4,220.130.184.157
1,110.28.201.5
5,115.43.157.244
5,61.219.221.241
5,123.194.201.157
5,163.20.242.171
3,1.161.183.74
1,220.130.139.12
0,223.140.136.90
4,112.104.29.192
3,211.21.93.157
2,1.160.132.38
6,60.250.74.208
3,223.136.178.159
5,180.176.211.45
1,220.130.139.12
5,163.20.242.171
4,112.104.29.192
2,61.231.160.164
1,220.130.139.12
5,61.219.221.241
2,220.137.113.249
0,123.193.58.13
1,111.250.64.79
6,60.250.74.208
2,122.116.32.84
1,223.136.54.217
5,111.241.220.48
3,27.242.166.153
2,27.246.0.166
2,222.90.76.166
5,220.136.165.199
6,60.250.74.208
5,163.20.242.152
4,42.73.212.169
4,123.193.34.213
3,27.242.166.153
2,122.118.45.127
2,122.118.45.127
0,60.248.5.18
1,1.200.218.203
4,42.73.212.169
5,117.56.22.241
5,163.21.9.241
5,1.34.159.225
1,101.8.176.107
5,101.138.152.5
1,114.137.244.154
0,49.219.128.218
2,180.217.183.132
2,61.62.20.58
2,114.42.75.2
2,163.21.183.253
1,220.130.139.12
3,123.193.11.221
1,114.137.244.154
1,175.184.246.151
0,49.219.128.218
4,180.217.130.237
5,114.44.36.108
4,39.12.194.137
2,114.136.245.126
2,36.226.247.102
1,101.139.133.36
0,59.124.0.25
2,223.136.107.56
5,118.163.88.51
4,180.217.130.237
3,140.92.148.165
3,59.120.18.107
1,220.130.139.12
4,223.136.151.167
3,61.228.101.169
1,27.73.109.148
2,125.227.48.201
3,180.204.16.153
1,114.136.196.50
5,42.70.137.48
4,114.24.249.134
4,211.21.121.142
0,59.124.0.25
1,59.115.136.208
5,1.160.166.20
4,114.24.249.134
4,180.217.130.237
5,49.216.113.119
4,39.12.194.137
2,220.133.141.76
5,49.216.167.134
3,180.217.188.18
1,150.116.30.16
5,49.216.167.134
5,210.70.131.254
1,36.230.153.174
5,118.163.88.51
2,213.178.197.210
3,223.137.80.142
0,111.250.194.110
5,223.137.171.101
1,1.171.165.134
3,223.136.145.254
2,27.246.197.51
2,213.178.197.210
2,114.37.67.32
1,113.196.174.254
0,111.250.194.110
3,223.137.28.46
2,1.160.18.221
5,223.26.108.210
0,123.194.197.119
5,118.160.174.81
3,118.166.7.165
4,61.230.143.122
6,118.160.85.113
4,111.248.204.227
2,211.72.182.83
6,118.160.85.113
6,118.160.85.113
5,219.71.217.51
1,36.230.153.174
4,122.116.140.8
4,111.240.212.153
3,111.249.9.139
1,114.44.251.105
4,36.224.211.241
4,122.116.140.8
0,101.8.208.3
2,111.246.3.66
5,123.193.22.120
5,49.216.167.134
0,219.68.236.81
5,111.243.204.86
4,203.121.237.49
5,163.20.242.152
0,123.194.197.119
1,115.43.95.59
3,61.228.101.169
5,59.124.13.107
2,114.36.2.44
5,1.162.70.246
2,59.115.130.61
5,220.136.234.165
3,61.228.101.169
0,163.21.169.202
1,27.73.109.148
5,180.176.211.45
5,39.12.139.166
4,39.9.96.172
1,1.200.211.26
5,163.21.9.241
0,61.228.106.189
4,60.245.65.180
5,61.216.85.243
2,60.251.214.194
5,163.20.242.171
5,101.12.166.92
3,27.52.66.101
5,180.176.211.45
4,223.137.237.236
5,61.219.221.241
5,60.250.206.90
5,163.20.242.171
1,114.137.36.36
5,110.28.165.251
0,180.217.175.235
0,61.216.178.92
5,180.217.134.216
5,36.225.180.117
0,101.15.4.87
2,140.118.7.194
4,123.192.236.49
5,118.150.28.179
3,106.104.114.13
5,114.136.214.24
5,49.219.168.156
5,114.136.214.24
3,61.216.176.117
3,211.21.93.157
2,220.137.113.249
0,111.71.95.31
2,220.137.113.249
0,61.220.144.163
4,49.217.192.99
0,218.32.11.2
2,220.138.23.36
2,101.13.146.251
3,36.230.230.32
4,211.75.82.219
2,118.165.32.251
5,61.216.154.223
1,223.136.71.238
1,220.130.139.12
3,36.230.230.32
1,180.217.187.121
2,50.112.194.65
4,180.217.157.188
4,211.75.82.219
1,42.72.28.152
4,49.217.192.99
3,36.229.101.147
3,61.30.98.123
5,101.12.148.163
3,36.229.101.147
2,223.137.246.26
0,125.227.22.8
0,218.32.11.2
5,117.56.73.241
1,114.25.43.159
4,114.34.165.236
5,114.136.196.30
0,101.9.149.166
5,101.12.148.163
3,118.165.59.246
4,27.147.27.59
4,27.147.27.59
3,223.137.74.217
3,36.226.246.219
0,220.130.174.55
5,202.39.224.232
4,60.248.153.199
0,220.130.174.55
4,210.138.208.234
0,220.130.174.55
2,220.133.141.76
0,101.9.149.166
5,111.249.23.182
3,123.193.231.163
5,49.216.167.134
5,118.161.93.211
3,36.229.101.147
3,223.137.148.39
4,36.229.218.55
3,101.14.6.221
0,111.248.185.217
3,106.105.116.149
1,36.230.153.174
1,36.230.153.174
3,180.217.175.107
4,111.250.147.100
3,1.163.96.129
3,1.169.198.49
3,111.255.172.206
2,36.230.227.88
4,1.162.220.198
4,150.70.188.179
4,111.250.147.100
5,114.45.204.235
5,118.166.135.91
4,1.162.220.198
5,223.140.124.158
5,114.45.204.235
0,111.248.185.217
4,111.250.147.100
4,114.43.132.173
5,220.137.13.38
2,36.234.49.175
1,36.230.153.174
3,1.169.88.242
2,182.235.165.44
4,59.115.109.163
3,182.235.8.132
1,114.24.67.20
5,220.137.13.38
5,59.115.235.153
3,111.249.5.193
3,111.249.5.193
5,223.136.77.55
2,1.162.78.178
5,220.137.13.38
4,1.162.220.198
2,124.11.194.62
3,202.39.224.234
1,1.171.50.214
5,223.140.111.102
5,220.137.13.38
5,219.71.133.190
5,223.136.77.55
3,180.217.133.74
1,122.116.118.137
3,114.44.33.77
3,202.39.224.234
0,119.77.229.206
3,111.249.5.193
3,119.14.72.65
2,42.73.3.83
4,114.42.128.230
3,163.21.132.1
2,125.224.15.65
3,111.249.5.193
1,220.130.139.12
1,36.230.79.80
5,49.216.227.51
2,223.137.70.158
3,114.44.113.54
3,36.225.221.192
1,1.34.195.118
4,59.120.10.211
1,36.230.79.80
2,125.227.48.201
2,118.168.67.36
2,59.125.99.9
5,36.227.37.140
4,180.217.173.239
3,114.45.53.27
4,223.140.214.172
1,114.136.95.83
2,125.227.48.201
5,118.165.69.231
0,111.184.30.102
3,114.137.159.55
2,220.137.113.249
3,114.45.75.93
3,27.52.227.207
0,111.248.185.217
4,150.117.221.198
5,36.233.212.147
2,125.230.93.94
3,114.44.33.77
5,219.70.204.253
2,59.125.99.9
2,27.247.39.112
3,123.204.166.8
1,59.124.231.69
3,123.204.166.8
3,123.204.166.8
4,218.35.153.157
5,219.71.133.190
2,122.201.179.161
2,61.60.217.64
4,223.140.169.248
3,123.204.166.8
2,59.125.16.126
2,150.70.173.9
1,36.230.153.174
2,36.234.49.175
2,211.21.104.121
5,61.60.126.7
5,61.60.126.7
3,36.230.230.32
2,59.125.99.9
3,123.204.166.8
2,59.125.99.9
0,118.168.237.192
2,60.250.69.19
5,118.165.69.231
4,223.140.169.248
5,114.32.130.22
2,61.222.120.98
5,61.60.126.7
4,219.85.187.210
4,218.35.153.157
5,42.72.90.71
5,118.169.229.119
2,122.201.179.161
5,1.171.55.98
2,118.163.136.68
0,140.96.143.57
4,115.82.185.78
2,118.163.136.68
1,223.140.110.95
1,122.100.123.123
2,36.234.49.175
2,39.8.32.47
2,61.70.247.186
1,61.230.102.82
2,1.160.162.54
3,1.163.41.216
2,123.0.214.27
2,59.125.99.9
3,119.14.43.100
5,42.72.90.71
5,219.71.133.190
1,220.138.23.235
1,36.230.153.174
2,36.234.49.175
2,123.194.165.89
3,36.230.230.32
3,36.230.230.32
3,118.169.66.60
2,114.44.33.77
0,114.25.16.38
3,1.163.64.85
0,219.85.1.164
2,61.70.247.186
1,114.136.146.214
4,180.204.243.87
3,1.162.129.18
4,150.117.221.198
5,1.161.184.225
5,1.164.150.144
5,123.194.202.69
2,36.227.10.138
5,223.136.77.55
5,118.161.93.211
3,111.249.5.193
0,101.12.51.78
4,118.168.65.28
5,36.227.37.140
3,221.169.231.116
2,114.44.33.77
4,114.24.228.44
4,114.24.228.44
3,119.14.43.100
4,101.8.48.4
2,220.137.136.63
2,36.234.49.175
5,61.65.118.12
4,36.229.199.135
1,223.136.250.237
1,1.169.199.181
3,122.116.172.232
3,180.217.175.107
1,61.230.102.82
1,36.230.153.174
3,111.249.5.193
5,36.233.212.147
4,1.161.167.219
4,36.224.43.134
5,1.171.68.50
